name,fullName,signature,filename,start_line,end_line,column,cyclomaticComplexity,numberOfLines,parameters
MPU_vTaskResume,MPU_vTaskResume,void(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,285,304,9,-1,-1,TaskHandle_t xTaskToResume
MPU_xTaskGetTickCount,MPU_xTaskGetTickCount,TickType_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,311,330,5,-1,-1,void
MPU_uxTaskGetNumberOfTasks,MPU_uxTaskGetNumberOfTasks,UBaseType_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,335,354,5,-1,-1,void
MPU_uxTaskGetSystemState,MPU_uxTaskGetSystemState,"UBaseType_t(TaskStatus_t*,UBaseType_t,uint32_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,595,616,9,-1,-1,"TaskStatus_t* pxTaskStatusArray, UBaseType_t uxArraySize, uint32_t* pulTotalRunTime"
MPU_uxTaskGetStackHighWaterMark,MPU_uxTaskGetStackHighWaterMark,UBaseType_t(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,625,644,9,-1,-1,TaskHandle_t xTask
MPU_uxTaskGetStackHighWaterMark2,MPU_uxTaskGetStackHighWaterMark2,StackType_t(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,653,672,9,-1,-1,TaskHandle_t xTask
MPU_xTaskGetCurrentTaskHandle,MPU_xTaskGetCurrentTaskHandle,TaskHandle_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,681,700,9,-1,-1,void
MPU_xTaskGetSchedulerState,MPU_xTaskGetSchedulerState,BaseType_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,709,728,9,-1,-1,void
MPU_vTaskSetTimeOutState,MPU_vTaskSetTimeOutState,void(TimeOut_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,735,754,5,-1,-1,TimeOut_t* pxTimeOut
MPU_xTaskCheckForTimeOut,MPU_xTaskCheckForTimeOut,"BaseType_t(TimeOut_t*,TickType_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,760,780,5,-1,-1,"TimeOut_t* pxTimeOut, TickType_t* pxTicksToWait"
MPU_xTaskGenericNotifyEntry,MPU_xTaskGenericNotifyEntry,BaseType_t(xTaskGenericNotifyParams_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,787,806,9,-1,-1,xTaskGenericNotifyParams_t* pxParams
MPU_xTaskGenericNotifyWaitEntry,MPU_xTaskGenericNotifyWaitEntry,BaseType_t(xTaskGenericNotifyWaitParams_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,815,834,9,-1,-1,xTaskGenericNotifyWaitParams_t* pxParams
