caller_name,caller_fullName,caller_file,call_line,callee,call_file,callee_kind,resolved_defs
vTaskResume,vTaskResume,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3427,/home/zwz/FreeRTOS/FreeRTOS/Source/include/task.h:taskEXIT_CRITICAL:ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,macro,
vTaskResume,vTaskResume,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3427,vPortExitCritical,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,function,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:940-980
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3445,<operator>.assignment,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3445,/home/zwz/FreeRTOS/FreeRTOS/Source/include/projdefs.h:pdFALSE:ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,macro,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3445,<operator>.cast,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3446,<operator>.assignment,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3451,/home/zwz/FreeRTOS/FreeRTOS/Source/include/FreeRTOSConfig.h:configASSERT:ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,macro,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3451,<operator>.equals,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3451,vAssertCalled,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,function,main.c:58-72
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3469,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/portmacro.h:portASSERT_IF_INTERRUPT_PRIORITY_INVALID:ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,macro,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3469,vPortValidateInterruptPriority,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,function,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:1423-1477
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3474,<operator>.assignment,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3474,/home/zwz/FreeRTOS/FreeRTOS/Source/include/task.h:taskENTER_CRITICAL_FROM_ISR:ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,macro,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3474,ulPortRaiseBASEPRI,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,function,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3476,<operator>.notEquals,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3476,prvTaskIsTaskSuspended,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,function,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c:3312-3375
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3476,/home/zwz/FreeRTOS/FreeRTOS/Source/include/projdefs.h:pdFALSE:ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,macro,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3476,<operator>.cast,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3481,<operator>.equals,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3481,<operator>.cast,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3487,<operator>.greaterThan,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3487,<operator>.indirectFieldAccess,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3487,<operator>.indirectFieldAccess,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3489,<operator>.assignment,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3489,/home/zwz/FreeRTOS/FreeRTOS/Source/include/projdefs.h:pdTRUE:ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,macro,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3489,<operator>.cast,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3494,<operator>.assignment,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3494,<operator>.indirectIndexAccess,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3494,/home/zwz/FreeRTOS/FreeRTOS/Source/include/projdefs.h:pdTRUE:ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,macro,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3494,<operator>.cast,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3503,<operator>.cast,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3503,uxListRemove,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,function,/home/zwz/FreeRTOS/FreeRTOS/Source/list.c:217-247
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3503,<operator>.addressOf,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3503,<operator>.indirectFieldAccess,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3504,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c:prvAddTaskToReadyList:ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,macro,
