function_name,signature,filename,line_number,full_name,index
MPU_xTaskGenericNotifyWait,"BaseType_t(UBaseType_t,uint32_t,uint32_t,uint32_t*,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTaskGetCurrentTaskHandleImpl,145
MPU_xTaskGenericNotifyWaitImpl,BaseType_t(xTaskGenericNotifyWaitParams_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTaskGetSchedulerStateImpl,146
MPU_ulTaskGenericNotifyTakeImpl,"uint32_t(UBaseType_t,BaseType_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_vTaskSetTimeOutStateImpl,147
MPU_xTaskGenericNotifyStateClearImpl,"BaseType_t(TaskHandle_t,UBaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTaskCheckForTimeOutImpl,148
MPU_ulTaskGenericNotifyValueClearImpl,"uint32_t(TaskHandle_t,UBaseType_t,uint32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTaskGenericNotify,149
MPU_xTaskCreate,"BaseType_t(TaskFunction_t,char*,StackType_t,void*,UBaseType_t,TaskHandle_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTaskGenericNotifyImpl,150
MPU_xTaskCreateStatic,"TaskHandle_t(TaskFunction_t,char*,StackType_t,void*,UBaseType_t,StackType_t*,StaticTask_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTaskGenericNotifyWait,151
MPU_vTaskDelete,void(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTaskGenericNotifyWaitImpl,152
MPU_vTaskPrioritySet,"void(TaskHandle_t,UBaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_ulTaskGenericNotifyTakeImpl,153
MPU_xTaskGetHandle,TaskHandle_t(char*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTaskGenericNotifyStateClearImpl,154
MPU_xTaskCreateRestricted,"BaseType_t(TaskParameters_t*,TaskHandle_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_ulTaskGenericNotifyValueClearImpl,155
MPU_xTaskCreateRestrictedStatic,"BaseType_t(TaskParameters_t*,TaskHandle_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTaskCreate,156
MPU_vTaskAllocateMPURegions,"void(TaskHandle_t,MemoryRegion_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTaskCreateStatic,157
MPU_xTaskGetStaticBuffers,"BaseType_t(TaskHandle_t,StackType_t**,StaticTask_t**)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_vTaskDelete,158
MPU_pcTaskGetName,char*(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_vTaskPrioritySet,159
MPU_uxTaskPriorityGetFromISR,UBaseType_t(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTaskGetHandle,160
MPU_uxTaskBasePriorityGet,UBaseType_t(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTaskCreateRestricted,161
MPU_uxTaskBasePriorityGetFromISR,UBaseType_t(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTaskCreateRestrictedStatic,162
MPU_xTaskResumeFromISR,BaseType_t(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_vTaskAllocateMPURegions,163
MPU_xTaskGenericNotifyFromISR,"BaseType_t(TaskHandle_t,UBaseType_t,uint32_t,eNotifyAction,uint32_t*,BaseType_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTaskGetStaticBuffers,164
MPU_vTaskGenericNotifyGiveFromISR,"void(TaskHandle_t,UBaseType_t,BaseType_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_pcTaskGetName,165
MPU_xTimerGetTimerDaemonTaskHandleImpl,TaskHandle_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xQueueIsQueueFullFromISR,198
MPU_xTimerGenericCommandFromTask,"BaseType_t(TimerHandle_t,BaseType_t,TickType_t,BaseType_t*,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_uxQueueMessagesWaitingFromISR,199
MPU_xTimerGenericCommandFromTaskImpl,BaseType_t(xTimerGenericCommandFromTaskParams_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xQueueGetMutexHolderFromISR,200
xTimerCreateTimerTask,BaseType_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xStreamBufferGetStaticBuffers,243
xTimerGenericCommandFromTask,"BaseType_t(TimerHandle_t,BaseType_t,TickType_t,BaseType_t*,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xStreamBufferReceiveCompletedFromISR,247
xTimerGetTimerDaemonTaskHandle,TaskHandle_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,-1,/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c:<global>,249
prvTimerTask,void(void*),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,-1,xTimerGetReloadMode,259
prvProcessTimerOrBlockTask,"void(TickType_t,BaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,-1,uxTimerGetReloadMode,260
prvROAccessTask,void(void*),/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,-1,prvGetHighestPriorityOfWaitToReceiveList,363
prvRWAccessTask,void(void*),/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,-1,prvCopyDataToQueue,364
prvCreateStaticTask,"TaskHandle_t(TaskFunction_t,char*,StackType_t,void*,UBaseType_t,StackType_t*,StaticTask_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,-1,xQueueIsQueueEmptyFromISR,368
xTaskCreateStatic,"TCB_t(TaskParameters_t*,TaskHandle_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,-1,prvIsQueueFull,369
prvCreateRestrictedStaticTask,"BaseType_t(TaskParameters_t*,TaskHandle_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,-1,xQueueIsQueueFullFromISR,370
xTaskCreateRestrictedStatic,"TCB_t(TaskParameters_t*,TaskHandle_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,-1,vQueueAddToRegistry,371
prvCreateRestrictedTask,"BaseType_t(TaskParameters_t*,TaskHandle_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,-1,pcQueueGetName,372
xTaskCreateRestricted,"TCB_t(TaskFunction_t,char*,StackType_t,void*,UBaseType_t,TaskHandle_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,-1,vQueueUnregisterQueue,373
prvCreateTask,"BaseType_t(TaskFunction_t,char*,StackType_t,void*,UBaseType_t,TaskHandle_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,-1,vQueueWaitForMessageRestricted,374
