function_name,signature,filename,line_number,full_name,index
fuzz_task,void(void),fuzz_harness.c,-1,fuzz_harness.c:<global>,90
pxPortInitialiseStack,"StackType_t(StackType_t*,TaskFunction_t,void*,BaseType_t,xMPU_SETTINGS*)",fuzz_harness.c,-1,create_queue,91
vPortSVCHandler,void(void),fuzz_harness.c,-1,delete_queue,92
vSVCHandler_C,void(uint32_t*),fuzz_harness.c,-1,test_task,93
vSystemCallEnter,"void(uint32_t*,uint8_t)",fuzz_harness.c,-1,fuzz_task,94
vRequestSystemCallExit,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,pxPortInitialiseStack,95
vSystemCallExit,void(uint32_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:<global>,96
xPortIsTaskPrivileged,BaseType_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,vPortSVCHandler,97
prvRestoreContextOfFirstTask,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,vSVCHandler_C,98
xPortStartScheduler,BaseType_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,vSystemCallEnter,99
vPortEndScheduler,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,vRequestSystemCallExit,100
vPortEnterCritical,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,vSystemCallExit,101
vPortExitCritical,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,xPortIsTaskPrivileged,102
xPortPendSVHandler,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,prvRestoreContextOfFirstTask,103
xPortSysTickHandler,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,xPortStartScheduler,104
vPortSetupTimerInterrupt,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,vPortEndScheduler,105
prvSetupMPU,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,vPortEnterCritical,106
prvGetMPURegionSizeSetting,uint32_t(uint32_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,vPortExitCritical,107
xIsPrivileged,BaseType_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,xPortPendSVHandler,108
vResetPrivilege,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,xPortSysTickHandler,109
vPortSwitchToUserMode,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,vPortSetupTimerInterrupt,110
vPortStoreTaskMPUSettings,"void(xMPU_SETTINGS*,xMEMORY_REGION*,StackType_t*,StackType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,prvSetupMPU,111
